,id,answers
10,10,http://dbpedia.org/resource/Kevin_Whitrick http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Shrewsbury
11,11,http://dbpedia.org/resource/Hillary_Williams http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Arkansas http://dbpedia.org/resource/Death_of_Baby_P http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/London
12,12,http://dbpedia.org/resource/Mikhail_Ivanov_(wrestler) http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Soviet_Union
13,13,http://dbpedia.org/resource/George_Elias http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Taguig
14,14,"http://dbpedia.org/resource/Clayton_Anderson http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Omaha,_Nebraska"
15,15,"http://dbpedia.org/resource/Dan_Spivey http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Tampa,_Florida"
16,16,"http://dbpedia.org/resource/Paul_Marshall_Johnson,_Jr. http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer http://dbpedia.org/resource/Aron_Ralston http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer"
17,17,"http://dbpedia.org/resource/Daniel_Kottke http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Bronxville,_New_York http://dbpedia.org/resource/David_Westerfield http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/United_States http://dbpedia.org/resource/Dick_Strawbridge http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Burma"
18,18,http://dbpedia.org/resource/David_C._Hilmers http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer http://dbpedia.org/resource/Brett_Kull http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/United_States
19,19,http://dbpedia.org/resource/Erik_Honor%C3%A9 http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Kristiansand http://dbpedia.org/resource/Gregory_J._Harbaugh http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer http://dbpedia.org/resource/Kevin_Whitrick http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Shrewsbury
