,id,answers
10,10,http://dbpedia.org/resource/Isabella_Acres http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
11,11,http://dbpedia.org/resource/Emily_Hahn_(actress) http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
12,12,http://dbpedia.org/resource/%C3%89mile_Nouguier http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Paris http://dbpedia.org/resource/%C3%80lex_Sim%C3%B3n_i_Casanovas http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%9Eorsteinn_Bjarnason http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Iceland http://dbpedia.org/resource/%C3%81ngel_Cheme http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Ecuador http://dbpedia.org/resource/%C3%8Dris_Stefanelli http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%89mile_Nouguier http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%81kos_R%C3%A1thonyi http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Hungary
13,13,http://dbpedia.org/resource/%C3%81ngel_Picazo http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Murcia
14,14,http://dbpedia.org/resource/%C4%BDubom%C3%ADr_Mesz%C3%A1ro%C5%A1 http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Czechoslovakia
15,15,http://dbpedia.org/resource/Frigyes_Szap%C3%A1ry http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
16,16,http://dbpedia.org/resource/Alaa_Ibrahim http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
17,17,http://dbpedia.org/resource/Karim_Ali_Fathy http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Hossam_Arafat http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Egypt http://dbpedia.org/resource/Omar_Mosaad http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Egypt http://dbpedia.org/resource/Teriy_Keys http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Egypt
18,18,http://dbpedia.org/resource/Islam_Tolba http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Egypt
19,19,http://dbpedia.org/resource/Ramy_Ashour http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
20,20,http://dbpedia.org/resource/Haggagovic http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Egypt
21,21,http://dbpedia.org/resource/%C3%87a%C4%9Fla_Ak%C4%B1n http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
22,22,http://dbpedia.org/resource/Angela_Visser http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Beg%C3%BCl_L%C3%B6kl%C3%BCo%C4%9Flu http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Ankara
23,23,http://dbpedia.org/resource/Anne-Cath._Vestly http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Norway
24,24,http://dbpedia.org/resource/Joan_Franka http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Rotterdam
25,25,http://dbpedia.org/resource/Fabiana_de_Oliveira http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Jaqueline_Carvalho http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Marianne_Steinbrecher http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Sheilla_Castro http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Brazil http://dbpedia.org/resource/Tha%C3%ADsa_Menezes http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
26,26,http://dbpedia.org/resource/Jaqueline_Carvalho http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
27,27,http://dbpedia.org/resource/Extrabreit http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_musicians http://dbpedia.org/resource/Theodore_Hagen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:German_musicians
