,query
15,"select distinct count(distinct ?tag) ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    
 OPTIONAL {
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur 
 } .
 
}"
16,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays count(distinct ?fromage )
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    
 OPTIONAL {
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur 
 } .
 
}"
17,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays count( * )
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    
 OPTIONAL {
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur 
 } .
 
}"
18,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays count( * )
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    
 OPTIONAL {
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur 
 } .
 
}"
19,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
20,"select distinct (COUNT(*) as ?count) ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
21,"select distinct (COUNT(*) as ?count) (SUM(?count) AS ?total) ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
22,"select distinct (COUNT(*) as ?count) (SUM(?count) as ?total) ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
23,"select distinct (COUNT(*) as ?count) ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
24,"select distinct (COUNT(distinct ?fromage) as ?count) ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
25,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays (COUNT(*) as ?count)
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
26,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays (COUNT(*) as ?count)
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}GROUP BY ?fromage"
27,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays (COUNT(*) as ?count)
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}GROUP BY ?pays"
28,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays (COUNT(?fromage) as ?count)
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
29,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays (COUNT(?fromage) as ?count)
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
30,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays (COUNT(?fromage) as ?count)
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
31,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays (COUNT(?fromage) as ?count)
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
32,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
33,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
34,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}OFFSET 170"
35,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}LIMIT 250"
36,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}OFFSET 169"
37,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
OPTIONAL { 
   ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
38,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}"
39,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
OPTIONAL { 
   ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
40,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}LIMIT 50"
