,%,entities,relationships,runtime
0,0.4941,18671,213,2121.005279302597
1,0.44315147393475723,61199,311,2391.340119123459
2,1.0,37933,126,1421.9895629882812
3,0.99925,17945,281,2102.4392762184143
4,0.0,27987,204,1816.8257706165314
5,0.2791666666666667,44943,108,1544.3563363552094
6,0.0,24466,244,1658.2790563106537
7,0.0,41900,126,1538.4680244922638
8,1.0,38939,121,1710.0702586174011
9,0.3398692810457516,14769,145,1657.9448342323303
10,0.054347208347208346,25955,164,1433.9413924217224
11,0.2515267175572519,18235,141,1170.865832567215
