,Unnamed: 0,%,entities,relationships,runtime
0,0,0.4003,5309,87,1160.1309292316434
1,1,0.26881375112172445,6077,120,1119.982545375824
2,2,0.7403196769667985,5729,85,788.2642338275909
3,3,0.4355714285714286,7130,166,1176.5024209022522
4,4,0.0,7520,103,1028.5358936786654
5,5,0.21666666666666667,3538,76,876.0076639652252
6,6,0.0,7910,166,984.3616673946381
7,7,0.0,3195,91,859.2912380695343
8,8,0.775,2568,89,951.318790435791
9,9,0.0820556765916243,8320,92,990.4266538619996
10,10,0.0008331668331668331,7351,94,880.4712996482849
11,11,0.0007633587786259543,8430,115,764.5641181468964
