,Unnamed: 0,%,entities,relationships,runtime
0,0,0.5098,278170,272,1171.8511118888855
1,1,0.7293347784031012,172763,415,1206.5158791542053
2,2,0.9889652014652016,307051,127,797.003012418747
3,3,0.9470178571428572,326381,321,1176.4446451663969
4,4,0.0,283980,253,1021.3849415779114
5,5,0.2791666666666667,362750,111,851.5182690620422
6,6,0.0,252230,280,962.9941520690918
7,7,0.0,343582,134,848.7355532646179
8,8,1.0,351674,124,906.4343719482422
9,9,0.6764492858871944,274735,168,983.7878580093384
10,10,0.8061729936729937,179402,189,872.309910774231
11,11,0.26679389312977103,352136,140,765.6695716381073
