,id,answers
10,12,http://www.w3.org/2000/01/rdf-schema#label
11,13,"http://dbpedia.org/resource/Princess_Charlotte_Wilhelmine_of_Saxe-Coburg-Saalfeld http://purl.org/dc/terms/subject http://dbpedia.org/resource/Donatus,_Hereditary_Prince_of_Hesse http://purl.org/dc/terms/subject http://dbpedia.org/resource/Alexander,_Prince_of_Schaumburg-Lippe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Philipp-Ernst,_Prince_of_Schaumburg-Lippe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Richard_Graf_von_Schaesberg-Tannheim http://purl.org/dc/terms/subject http://dbpedia.org/resource/House_of_Lippe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Thankmar http://purl.org/dc/terms/subject http://dbpedia.org/resource/Duchess_Sibylle_of_Saxe-Lauenburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Christopher_of_Baden-Durlach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Magdalena_Sibylla_of_Hesse-Darmstadt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Heinrich_Donatus,_Hereditary_Prince_of_Schaumburg-Lippe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Prince_Joachim_of_Prussia http://purl.org/dc/terms/subject http://dbpedia.org/resource/Countess_Palatine_Maria_Franziska_of_Sulzbach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Anne_Eleonore_of_Hesse-Darmstadt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Joachim_Ernst,_Duke_of_Anhalt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Prince_Wilhelm_of_Prussia_(1906%E2%80%931940) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Prinzenerlass http://purl.org/dc/terms/subject http://dbpedia.org/resource/Archduchess_Maria_Anna_Josepha_of_Austria http://purl.org/dc/terms/subject http://dbpedia.org/resource/Duchess_Maria_Anna_Josepha_of_Bavaria http://purl.org/dc/terms/subject http://dbpedia.org/resource/Prince_Christian_of_Hanover_(born_1985) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Eduard,_Prince_of_Anhalt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wilhelm_Graf_von_Hohenau http://purl.org/dc/terms/subject"
12,14,http://www.w3.org/2000/01/rdf-schema#label
13,15,http://dbpedia.org/resource/Eppelein_von_Gailingen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hannikel http://purl.org/dc/terms/subject http://dbpedia.org/resource/Mathias_Knei%C3%9Fl http://purl.org/dc/terms/subject http://dbpedia.org/resource/Schinderhannes http://purl.org/dc/terms/subject http://dbpedia.org/resource/Frederick_of_Isenberg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Xaver_Hohenleiter http://purl.org/dc/terms/subject http://dbpedia.org/resource/Otto_von_Pack http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hans_Kohlhase http://purl.org/dc/terms/subject http://dbpedia.org/resource/Matthias_Klostermayr http://purl.org/dc/terms/subject
14,16,http://www.w3.org/2000/01/rdf-schema#label
15,17,"http://dbpedia.org/resource/Fritz_Bronsart_von_Schellendorf http://purl.org/dc/terms/subject http://dbpedia.org/resource/Otto_von_Feldmann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Alexander_Scotland http://purl.org/dc/terms/subject http://dbpedia.org/resource/Gaston_Thierry http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hans_Tappenbeck http://purl.org/dc/terms/subject http://dbpedia.org/resource/Micha%C5%82_Radziwi%C5%82%C5%82_Rudy http://purl.org/dc/terms/subject http://dbpedia.org/resource/Florian_Geyer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Baltzar_von_Dahlheim http://purl.org/dc/terms/subject http://dbpedia.org/resource/Charles_August,_Prince_of_Nassau-Weilburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ernest_Ferdinand,_Duke_of_Brunswick-L%C3%BCneburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Frederick_Charles_Ferdinand,_Duke_of_Brunswick-L%C3%BCneburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Josias_II,_Count_of_Waldeck-Wildungen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Prince_Hermann_of_Saxe-Weimar-Eisenach_(1825%E2%80%931901) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Richard_Abegg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Franz_Boluminski http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hans_Dominik http://purl.org/dc/terms/subject http://dbpedia.org/resource/Sven_H%C3%BCber http://purl.org/dc/terms/subject http://dbpedia.org/resource/Axel_von_Blomberg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Johannes_Eppler http://purl.org/dc/terms/subject http://dbpedia.org/resource/Prince_Paul_of_Thurn_and_Taxis http://purl.org/dc/terms/subject http://dbpedia.org/resource/Friedrich_Robert_von_Beringe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wilhelm_Bergholtz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ferdinand_Maria_Innocenz_of_Bavaria http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hermann_of_Baden-Baden http://purl.org/dc/terms/subject http://dbpedia.org/resource/Werner_Rahn http://purl.org/dc/terms/subject http://dbpedia.org/resource/Max_Liebermann_von_Sonnenberg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wilhelm_von_Rath http://purl.org/dc/terms/subject http://dbpedia.org/resource/Martin-Paul_Samba http://purl.org/dc/terms/subject http://dbpedia.org/resource/Carl_Wilhelm_von_Heideck http://purl.org/dc/terms/subject http://dbpedia.org/resource/Erhard_Kroeger http://purl.org/dc/terms/subject http://dbpedia.org/resource/Jacob_Heinrich_von_Flemming http://purl.org/dc/terms/subject http://dbpedia.org/resource/Otto_von_Etzel http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hermann_Baranowski http://purl.org/dc/terms/subject http://dbpedia.org/resource/Erhard_B%C3%BChler http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ferdinand_von_Malais%C3%A9 http://purl.org/dc/terms/subject http://dbpedia.org/resource/Christian_Wilhelm_von_Faber_du_Faur http://purl.org/dc/terms/subject http://dbpedia.org/resource/Albert_Wolfgang_of_Brandenburg-Bayreuth http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ernst_Fr%C3%B6mming http://purl.org/dc/terms/subject http://dbpedia.org/resource/Friedrich_von_Arnauld_de_la_Peri%C3%A8re http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hans_Kahle http://purl.org/dc/terms/subject http://dbpedia.org/resource/Herbert_Olbrich http://purl.org/dc/terms/subject http://dbpedia.org/resource/August_von_Kruse http://purl.org/dc/terms/subject http://dbpedia.org/resource/August_Keim http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wolfgang_F%C3%BCrstner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Friedrich_Josef_Rauch http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wilhelm_Frickart http://purl.org/dc/terms/subject"
16,18,http://www.w3.org/2000/01/rdf-schema#label
17,19,http://dbpedia.org/resource/Lorenz_Schwietz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Franz_Schmidt_(executioner) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Alois_Weiss http://purl.org/dc/terms/subject http://dbpedia.org/resource/Johann_Reichhart http://purl.org/dc/terms/subject http://dbpedia.org/resource/Scharfrichter http://purl.org/dc/terms/subject
18,20,http://www.w3.org/2000/01/rdf-schema#label
19,21,http://www.w3.org/2000/01/rdf-schema#label
